Player,Name,ab,bb
Mike,Trout,593,93
Miguel,Cabrera,566,90
Paul,Goldschmidt,589,87
Andrew,McCutchen,570,75
Carlos,Gonzalez,521,55
Robinson,Cano,590,60
Adam,Jones,594,31
Chris,Davis,566,57
Hanley,Ramirez,501,48
Joey,Votto,538,116
Bryce,Harper,502,69
Adrian,Beltre,599,39
Ryan,Braun,538,58
Prince,Fielder,575,83
Troy,Tulowitzki,527,63
Jacoby,Ellsbury,620,49
David,Wright,539,72
Edwin,Encarnacion,552,78
Carlos,Gomez,562,37
Evan,Longoria,574,71
Giancarlo,Stanton,516,75
Jason,Kipnis,571,70
Yasiel,Puig,554,55
Freddie,Freeman,540,65
Dustin,Pedroia,591,67
Jose,Bautista,510,81
Justin,Upton,525,66
Jay,Bruce,530,56
Ian,Desmond,550,39
Jose,Reyes,561,51
Shin-Soo,Choo,557,84
Buster,Posey,533,63
Alex,Rios,578,36
Jean,Segura,566,33
Matt,Holliday,540,69
Albert,Pujols,567,59
Eric,Hosmer,604,58
Matt,Kemp,496,48
Starling,Marte,535,30
Hunter,Pence,593,53
Ryan,Zimmerman,524,57
Wil,Myers,546,57
Ian,Kinsler,624,66
Yoenis,Cespedes,507,41
Allen,Craig,546,45
Elvis,Andrus,616,58
Adrian,Gonzalez,594,56
Jason,Heyward,543,70
Carlos,Santana,535,91
Josh,Donaldson,548,62
Matt,Carpenter,547,69
Joe,Mauer,585,84
David,Ortiz,502,71
Yadier,Molina,452,35
Alex,Gordon,611,63
Anthony,Rizzo,594,72
Jose,Altuve,618,37
Pedro,Alvarez,535,55
Billy,Hamilton,509,41
Mark,Trumbo,557,46
Carlos,Beltran,505,46
Domonic,Brown,533,49
Jayson,Werth,456,59
Shane,Victorino,499,41
Brandon,Phillips,585,39
Ben,Zobrist,574,73
Josh,Hamilton,551,51
Wilin,Rosario,463,26
Everth,Cabrera,597,66
Curtis,Granderson,542,69
Billy,Butler,578,73
Manny,Machado,515,30
Kyle,Seager,577,56
Desmond,Jennings,554,63
Aaron,Hill,573,48
Brian,McCann,485,55
Brandon,Belt,482,58
Starlin,Castro,610,35
Martin,Prado,612,51
Michael,Cuddyer,523,49
Coco,Crisp,518,54
Austin,Jackson,583,61
Jonathan,Lucroy,481,39
Chase,Utley,477,49
Mike,Napoli,421,60
Aramis,Ramirez,461,43
Pablo,Sandoval,560,50
Asdrubal,Cabrera,502,41
Jedd,Gyorko,567,48
Matt,Adams,557,42
Salvador,Perez,492,24
Leonys,Martin,479,33
Brett,Lawrie,516,42
Nelson,Cruz,507,43
Alfonso,Soriano,552,40
J.J.,Hardy,599,39
Brandon,Moss,421,43
Brett,Gardner,513,57
Matt,Wieters,491,49
Dexter,Fowler,477,71
Andrelton,Simmons,568,40
Howie,Kendrick,541,31
Alexei,Ramirez,599,29
Kendrys,Morales,583,47
Xander,Bogaerts,518,50
Daniel,Murphy,585,33
Carl,Crawford,508,34
Mark,Teixeira,489,58
Evan,Gattis,455,29
Victor,Martinez,558,51
Jed,Lowrie,522,50
Norichika,Aoki,565,51
Jimmy,Rollins,575,57
Alejandro,De Aza,445,39
Chase,Headley,574,76
Ben,Revere,527,30
Wilson,Ramos,399,29
Michael,Bourn,605,57
Jurickson,Profar,525,57
Nolan,Arenado,548,33
Christian,Yelich,450,51
Michael,Brantley,527,43
Corey,Hart,514,45
Nick,Swisher,559,79
Torii,Hunter,593,41
Ryan,Howard,488,51
Jhonny,Peralta,511,46
Adam,Eaton,591,60
Brad,Miller,543,54
Erick,Aybar,566,28
Josh,Reddick,459,49
Will,Venable,481,40
B.J.,Upton,471,51
Jason,Castro,487,59
Neil,Walker,484,49
Todd,Frazier,482,44
Brian,Dozier,564,45
Khris,Davis,462,52
Jonathan,Villar,490,46
Justin,Morneau,496,49
Will,Middlebrooks,493,30
Chris,Carter,508,68
Anthony,Rendon,507,55
George,Springer,278,37
Eric,Young,388,37
Yan,Gomes,402,26
Dan,Uggla,406,61
Nick,Markakis,560,55
Angel,Pagan,537,44
Colby,Rasmus,510,49
Stephen,Drew,515,60
David,Freese,450,47
Adam,LaRoche,468,61
Chris,Johnson,510,31
Alcides,Escobar,577,27
Peter,Bourjos,435,30
Kelly,Johnson,481,52
Ike,Davis,414,56
Mike,Moustakas,502,36
Scooter,Gennett,401,20
Avisail,Garcia,512,23
Daniel,Nava,334,40
Andre,Ethier,445,50
Adam,Dunn,500,78
Melky,Cabrera,552,42
Jarrod,Saltalamacchia,404,39
Kole,Calhoun,475,48
Cody,Asche,425,33
Yonder,Alonso,501,56
Rajai,Davis,342,22
Logan,Morrison,494,62
Miguel,Montero,481,57
Zack,Cozart,593,33
Adam,Lind,498,49
Nick,Castellanos,516,39
Justin,Smoak,505,69
Omar,Infante,509,25
Oscar,Taveras,136,8
Mitch,Moreland,483,43
Derek,Jeter,477,38
Denard,Span,567,51
A.J.,Pierzynski,384,17
Matt,Dominguez,511,33
Junior,Lake,451,28
Gerardo,Parra,542,47
Kolten,Wong,453,38
Carlos,Quentin,430,47
James,Loney,496,40
Josh,Rutledge,361,24
Garrett,Jones,524,44
Josh,Willingham,503,74
Mark,Reynolds,248,34
Matt,Davidson,396,37
Oswaldo,Arcia,520,43
Trevor,Plouffe,485,40
Michael,Morse,517,35
Dustin,Ackley,502,54
Didi,Gregorius,382,32
Travis,d'Arnaud,403,35
Marlon,Byrd,487,27
Justin,Ruggiano,384,37
Jackie,Bradley,415,45
Lorenzo,Cain,454,39
Dayan,Viciedo,410,24
Dioner,Navarro,349,33
Ichiro,Suzuki,405,21
Mike,Zunino,409,36
Ryan,Ludwick,434,40
Devin,Mesoraco,393,36
Russell,Martin,416,54
Alex,Avila,359,52
Geovany,Soto,324,38
Carlos,Ruiz,394,31
Marco,Scutaro,539,43
Michael,Saunders,457,52
A.J.,Ellis,434,57
Adam,Rosales,153,12
Alberto,Callaspo,380,43
Austin,Kearns,127,17
Austin,Romine,38,3
Brandon,Allen,46,5
Brayan,Pena,219,10
Brendan,Harris,60,4
Brendan,Ryan,332,28
Brent,Morel,117,8
Brett,Hayes,89,6
Brett,Wallace,413,35
Brian,Roberts,316,30
Bryan,Anderson,35,3
Cameron,Maybin,366,33
Carlos,Pena,192,34
Casey,Kotchman,254,20
Casey,McGehee,362,32
Casper,Wells,127,11
Cesar,Izturis,103,5
Chris,Coghlan,246,24
Chris,Denorfia,363,32
Chris,Getz,160,13
Chris,Heisey,249,14
Chris,Iannetta,272,44
Chris,Nelson,292,20
Chris,Snyder,99,14
Chris,Valaika,53,3
Cliff,Pennington,241,21
Clint,Barmes,238,14
Cody,Ross,433,36
Cord,Phelps,101,9
Craig,Gentry,229,21
Daniel,Descalso,290,26
Danny,Espinosa,227,16
Danny,Valencia,209,13
Daric,Barton,188,31
Darin,Mastroianni,147,14
Darnell,McDonald,170,16
Darwin,Barney,517,33
David,DeJesus,454,46
David,Murphy,449,41
David,Ross,161,17
Dee,Gordon,171,12
Delmon,Young,262,13
Don,Kelly,217,21
Donnie,Murphy,249,17
Drew,Butera,74,5
Drew,Stubbs,328,33
Eduardo,Nunez,191,13
Emilio,Bonifacio,313,31
Eric,Chavez,163,16
Eric,Sogard,215,17
Francisco,Cervelli,72,8
Franklin,Gutierrez,274,17
Gaby,Sanchez,426,55
George,Kottaras,204,39
Gerald,Laird,167,16
Gordon,Beckham,428,34
Grady,Sizemore,135,11
Greg,Dobbs,264,17
Gregor,Blanco,332,38
Hank,Conger,246,21
Henry,Blanco,70,7
Humberto,Quintero,104,4
J.P.,Arencibia,279,16
Jack,Hannahan,197,22
Jarrod,Dyson,170,17
Jason,Bourgeois,59,3
Jason,Giambi,121,17
Jason,Kubel,219,23
Jayson,Nix,140,12
Jeff,Baker,183,14
Jeff,Francoeur,266,16
Jeff,Keppinger,293,16
Jeff,Mathis,213,15
Jesus,Guzman,260,25
Joaquin,Arias,257,9
John,Baker,47,5
John,Buck,158,17
John,Hester,35,4
John,Jaso,317,50
Carlos,Corporan,101,6
Jon,Jay,359,31
Jonathan,Herrera,187,16
Jonny,Gomes,316,45
Jordan,Danks,116,13
Jordan,Pacheco,231,12
Jordan,Schafer,306,34
Jose,Iglesias,497,27
Jose,Molina,220,18
Jose,Tabata,426,40
Josh,Thole,145,15
Juan,Francisco,314,25
Juan,Pierre,433,26
Juan,Uribe,408,32
Justin,Maxwell,153,16
Kelly,Shoppach,135,12
Kevin,Frandsen,248,11
Koyie,Hill,129,9
Kurt,Suzuki,327,24
Kyle,Blanks,191,18
Lance,Berkman,337,57
Laynce,Nix,185,15
Lonnie,Chisenhall,386,25
Lou,Marson,129,18
Lucas,Duda,392,54
Luis,Valbuena,173,24
Lyle,Overbay,168,16
Maicer,Izturis,355,28
Mark,Ellis,290,19
Mat,Gamel,31,2
Matt,Diaz,155,10
Matt,Joyce,397,55
Matt,Tuiasosopo,39,6
Scott,Moore,69,6
Michael,Taylor,37,4
Michael,Young,482,38
Miguel,Tejada,111,5
Mike,Aviles,289,13
Mike,Baxter,83,11
Mike,Carp,215,21
Nate,McLouth,386,39
Nate,Schierholtz,443,33
Nick,Hundley,300,23
Nick,Punto,188,24
Nolan,Reimold,143,13
Paul,Janish,105,8
Paul,Konerko,275,29
Pedro,Ciriaco,118,5
Placido,Polanco,254,19
Rafael,Furcal,466,41
Ramiro,Pena,123,9
Ramon,Santiago,232,20
Raul,Ibanez,419,37
Reid,Brignac,70,3
Rickie,Weeks,294,34
Rob,Johnson,59,5
Robert,Andino,162,15
Robinson,Chirinos,58,6
Roger,Bernadina,218,20
Ruben,Tejada,418,32
Ryan,Doumit,293,25
Ryan,Hanigan,289,38
Ryan,Kalish,22,2
Ryan,Raburn,291,24
Ryan,Roberts,114,12
Ryan,Sweeney,302,28
Sam,Fuld,189,19
Scott,Hairston,169,11
Scott,Sizemore,165,21
Sean,Rodriguez,248,23
Seth,Smith,301,34
Skip,Schumaker,347,30
Steve,Pearce,173,21
Taylor,Teagarden,34,2
Tony,Abreu,98,4
Travis,Hafner,224,28
Travis,Snider,287,26
Ty,Wigginton,310,32
Tyler,Colvin,196,13
Tyler,Flowers,142,12
Welington,Castillo,368,35
Wil,Nieves,147,8
Willie,Bloomquist,221,12
Wilson,Betemit,188,18
Yorvit,Torrealba,248,18
Yunel,Escobar,485,52
Yuniesky,Betancourt,259,9
Ryan,Flaherty,381,30
Ryan,Lavarnway,69,5
Abraham,Almonte,303,30
David,Adams,56,4
Corey,Dickerson,265,20
Zoilo,Almonte,72,5
Melky,Mesa,19,1
Chris,McGuiness,90,9
Jose,Lobaton,189,24
Stephen,Vogt,135,11
Brandon,Guyer,40,2
David,Cooper,57,4
Adeiny,Hechavarria,529,33
Moises,Sierra,149,11
Eduardo,Escobar,157,11
Brandon,Barnes,201,11
Thomas,Neal,13,1
Hernan,Perez,32,1
Andy,Dirks,309,27
Clete,Thomas,68,6
Johnny,Giavotella,97,6
David,Lough,384,21
Alexi,Amarista,248,15
Luis,Jimenez,42,1
Andrew,Romine,86,7
Derek,Norris,272,35
Anthony,Recker,112,12
Jemile,Weeks,240,22
Collin,Cowgill,136,11
Carlos,Triunfel,29,1
Tyler,Pastornicky,157,11
Ryan,Jackson,12,1
Kevin,Mattison,7,1
Wilmer,Flores,119,6
Chris,Owings,239,13
Zach,Lutz,25,3
Josh,Satin,79,11
Justin,Turner,289,21
Jordany,Valdespin,102,6
Juan,Lagares,451,26
Kirk,Nieuwenhuis,110,11
Erik,Kratz,191,17
Freddy,Galvis,196,11
Cesar,Hernandez,108,8
Michael,Martinez,112,7
John,Mayberry,280,23
Jhonatan,Solano,106,6
Steve,Lombardozzi,218,10
Tyler,Moore,189,14
Eury,Perez,32,1
Steve,Clevenger,53,5
Josh,Vitters,35,3
Tony,Campana,77,6
Dave,Sappelt,74,5
Donald,Lutz,33,1
Marwin,Gonzalez,162,9
Jimmy,Paredes,98,6
Brian,Bogusevic,189,20
J.D.,Martinez,194,14
J.B.,Shuck,239,20
Martin,Maldonado,251,19
Jeff,Bianchi,202,12
Taylor,Green,33,3
Caleb,Gindl,70,9
Logan,Schafer,221,17
Chase,d'Arnaud,42,2
Josh,Harrison,282,12
Jordy,Mercer,415,28
Alex,Presley,366,25
Tony,Cruz,129,7
Pete,Kozma,98,9
Adron,Chambers,59,6
Shane,Robinson,124,14
Tommy,Field,68,6
DJ,LeMahieu,336,19
Charlie,Blackmon,202,12
Tim,Federowicz,73,6
Justin,Sellers,113,10
Scott,Van Slyke,89,11
Yasmani,Grandal,232,35
James,Darnell,26,3
Logan,Forsythe,308,31
Andy,Parrino,46,6
Josmil,Pinto,300,28
Hector,Sanchez,110,6
Chris,Stewart,156,15
Brandon,Crawford,542,48
Charlie,Culberson,114,5
Conor,Gillaspie,192,18
Roger,Kieschnick,37,5
Francisco,Peguero,55,2
Brett,Jackson,45,7
Jason,Pridie,83,8
Aaron,Hicks,224,22
Jonathan,Schoop,238,17
L.J.,Hoes,440,43
Brock,Holt,87,8
Kyle,Skipworth,17,2
Anthony,Gose,151,12
Bryan,Holaday,98,6
Quintin,Berry,133,13
Jeff,Kobernus,75,6
Nick,Green,129,7
Irving,Falu,28,2
Leury,Garcia,128,8
Marcus,Semien,252,27
Chris,Herrmann,101,11
Pedro,Florimon,422,34
Jake,Marisnick,207,12
Grant,Green,204,13
Andrew,Lambo,128,13
Mike,Olt,354,39
Chris,Colabello,291,31
Rob,Brantly,98,8
Ed,Lucas,246,18
Donovan,Solano,279,19
Henry,Urrutia,295,25
Darin,Ruf,436,47
Sandy,Leon,41,4
Wilfredo,Tovar,54,4
Omar,Quintanilla,199,21
Chad,Tracy,148,12
Corey,Brown,49,5
Ryan,Wheeler,62,4
Cody,Ransom,222,25
Jake,Elmore,62,6
Nick,Franklin,349,38
A.J.,Pollock,446,33
Andrew,Brown,120,11
Munenori,Kawasaki,156,18
Alfredo,Marte,46,4
Maikel,Franco,116,6
Marcell,Ozuna,493,34
Michael,Choice,207,21
Nate,Freiman,210,16
Reymond,Fuentes,32,3
Joey,Terdoslavich,64,8
Robbie,Grossman,434,48
Jaff,Decker,19,3
Nick,Noonan,78,5
Derek,Dietrich,123,7
Josh,Phegley,363,18
Nick,Buss,16,1
Sean,Halton,113,7
Steve,Susdorf,25,2
Audry,Perez,10,1
