Player,Name,sv,ip
Clayton,Kershaw,0,214
Yu,Darvish,0,201
Adam,Wainwright,0,206
Felix,Hernandez,0,211
Max,Scherzer,0,201
Stephen,Strasburg,0,184
Cliff,Lee,0,206
Jose,Fernandez,0,184
Madison,Bumgarner,0,201
Chris,Sale,0,206
David,Price,0,206
Justin,Verlander,0,214
Cole,Hamels,0,209
Zack,Greinke,0,196
Craig,Kimbrel,38,67
Anibal,Sanchez,0,192
Aroldis,Chapman,35,66
Kenley,Jansen,34,70
Mat,Latos,0,199
Gio,Gonzalez,0,187
Jordan,Zimmermann,0,194
Greg,Holland,36,66
Matt,Cain,0,204
Gerrit,Cole,0,184
Homer,Bailey,0,184
Hisashi,Iwakuma,0,199
James,Shields,0,209
Mike,Minor,0,187
Alex,Cobb,0,196
Koji,Uehara,33,67
Trevor,Rosenthal,36,69
Shelby,Miller,0,153
Julio,Teheran,0,184
Matt,Moore,0,192
Joe,Nathan,35,65
Hyun-jin,Ryu,0,195
Masahiro,Tanaka,0,194
Kris,Medlen,0,182
Jered,Weaver,0,194
Glen,Perkins,34,65
Michael,Wacha,0,177
Doug,Fister,0,189
Sergio,Romo,34,64
Francisco,Liriano,0,182
Jeff,Samardzija,0,192
Jason,Grilli,32,62
David,Robertson,33,66
Rafael,Soriano,34,66
Johnny,Cueto,0,187
Addison,Reed,31,67
Tony,Cingrani,0,152
Jonathan,Papelbon,32,65
Hiroki,Kuroda,0,192
Clay,Buchholz,0,157
Sonny,Gray,0,184
CC,Sabathia,0,196
A.J.,Burnett,0,192
Patrick,Corbin,0,196
Danny,Salazar,0,172
Jon,Lester,0,192
R.A.,Dickey,0,201
Jim,Johnson,34,68
Casey,Janssen,32,63
Lance,Lynn,0,179
Andrew,Cashner,0,191
Matt,Garza,0,191
Steve,Cishek,33,67
Ernesto,Frieri,32,67
Justin,Masterson,0,196
Chris,Archer,0,186
Zack,Wheeler,0,182
Grant,Balfour,33,65
Bobby,Parnell,29,62
C.J.,Wilson,0,204
Danny,Farquhar,22,64
Corey,Kluber,0,182
Huston,Street,29,60
Jake,Peavy,0,152
Jim,Henderson,31,65
Marco,Estrada,0,138
Ervin,Santana,0,204
Tim,Lincecum,0,189
Chris,Tillman,0,196
Jose,Veras,30,65
Fernando,Rodney,23,67
Drew,Smyly,0,142
Brandon,Beachy,0,149
Yovani,Gallardo,0,182
Jarrod,Parker,0,184
Alex,Wood,0,155
Ricky,Nolasco,0,196
Ubaldo,Jimenez,0,194
John,Lackey,0,182
Dan,Haren,0,182
Nate,Jones,33,70
John,Axford,32,67
A.J.,Griffin,0,179
Joaquin,Benoit,9,65
Derek,Holland,0,98
Tommy,Hunter,27,73
Bartolo,Colon,0,174
Rex,Brothers,13,67
Ivan,Nova,0,184
Scott,Kazmir,0,162
Ian,Kennedy,0,191
Taijuan,Walker,0,165
Neftali,Feliz,31,63
LaTroy,Hawkins,20,64
Dan,Straily,0,172
Jesse,Crain,3,58
Jhoulys,Chacin,0,199
Tyson,Ross,0,162
Dillon,Gee,0,177
Jon,Niese,0,174
Wade,Miley,0,191
Rick,Porcello,0,177
Chad,Qualls,2,59
Jose,Quintana,0,192
Heath,Bell,14,60
Joshua,Fields,27,65
Brandon,Morrow,0,137
Joakim,Soria,8,47
Kevin,Gausman,0,152
Tim,Hudson,0,177
Pedro,Strop,3,56
Mark,Melancon,6,68
Wei-Yin,Chen,0,184
Travis,Wood,0,177
Kyle,Lohse,0,187
Darren,O'Day,4,57
Jake,McGee,3,57
Bronson,Arroyo,0,177
Brian,Wilson,5,66
Martin,Perez,0,172
J.J.,Putz,5,59
Brett,Anderson,0,116
Ryan,Cook,4,52
Trevor,Cahill,0,189
Jorge,De La Rosa,0,184
Mike,Leake,0,165
Alexi,Ogando,0,159
Mark,Buehrle,0,199
Tyler,Thornburg,0,76
Scott,Feldman,0,177
Wandy,Rodriguez,0,143
Ryan,Dempster,0,127
Miguel,Gonzalez,0,182
Garrett,Richards,0,172
James,Paxton,0,162
Henderson,Alvarez,0,184
Brandon,McCarthy,0,142
Jeremy,Hellickson,0,138
Nathan,Eovaldi,0,177
Jason,Vargas,0,187
Jacob,Turner,0,164
Michael,Pineda,0,97
Hector,Santiago,0,148
Jaime,Garcia,0,172
Cory,Luebke,0,109
Phil,Hughes,0,170
Aaron,Crow,4,62
Aaron,Harang,0,122
Aaron,Laffey,0,85
Adam,Ottavino,1,67
Alex,Sanabia,0,21
Alexander,Torres,3,68
Andrew,Miller,1,50
Antonio,Bastardo,4,53
Blake,Wood,0,27
Boone,Logan,1,45
Brad,Lincoln,0,38
Brad,Ziegler,3,63
Brandon,League,1,49
Brett,Cecil,3,60
Brian,Duensing,2,83
Brian,Matusz,2,61
Bruce,Chen,0,128
Bud,Norris,0,177
Burke,Badenhop,1,51
Carlos,Carrasco,0,128
Carlos,Marmol,3,57
Chad,Billingsley,0,85
Chad,Durbin,0,29
Charlie,Morton,0,174
Chien-Ming,Wang,0,39
Chris,Capuano,0,176
Chris,Narveson,0,120
Chris,Perez,1,50
Colby,Lewis,0,87
Craig,Breslow,1,53
Craig,Stammen,1,58
Daisuke,Matsuzaka,0,44
Daniel,Bard,0,27
Danny,Duffy,0,133
David,Hernandez,2,56
David,Huff,0,32
Drew,Storen,5,60
Edinson,Volquez,0,104
Edward,Mujica,3,64
Edwin,Jackson,0,177
Eric,O'Flaherty,0,37
Erik,Bedard,0,154
Esmil,Rogers,0,98
Everett,Teaford,0,30
Roberto,Hernandez,0,158
Felipe,Paulino,0,57
Felix,Doubront,0,162
Fernando,Salas,4,45
Francisco,Rodriguez,7,54
Frank,Francisco,7,22
Frank,Herrmann,0,20
Franklin,Morales,0,45
Freddy,Garcia,0,75
Gavin,Floyd,0,92
Henry,Rodriguez,2,25
J.A.,Happ,0,113
J.P.,Howell,1,51
Jake,Arrieta,0,124
Jake,Westbrook,0,126
Jared,Burton,4,55
Jason,Frasor,0,46
Jason,Hammel,0,121
Jason,Motte,5,58
Javier,Lopez,3,49
Jeanmar,Gomez,0,75
Jeff,Karstens,0,114
Jenrry,Mejia,0,82
Jeremy,Affeldt,3,54
Jeremy,Bonderman,0,33
Jeremy,Guthrie,0,182
Joba,Chamberlain,1,43
Joe,Blanton,0,113
Joe,Saunders,0,149
Joe,Smith,4,65
Joe,Thatcher,1,41
Joel,Hanrahan,2,37
Joel,Peralta,3,62
Johan,Santana,0,92
John,Danks,0,160
John,Lannan,0,38
